sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
NA_1,2022-06-23,13:52:00,NA,NA,0.01,NA,NA,Reach length: 90m
NA_2,2022-06-23,13:55:00,NA,NA,NA,NA,NA,"BOR HOBO: , HOR HOBO: "
NA_3,2022-06-23,13:56:00,NA,NA,0.01,NA,NA,"800 g NaCl, 250 g KNO3, 2 gallons water"
NA_4,2022-06-23,13:57:00,NA,NA,0.01,NA,NA,"Injection start: 13:52:00, injection end 13:54:45"
NA_5,2022-06-23,13:57:30,NA,NA,0.012,NA,NA,
NA_6,2022-06-23,13:58:00,NA,NA,0.011,NA,NA,*No YSI so intervals based on prior NH4 run
NA_7,2022-06-23,13:58:30,NA,NA,0.012,NA,NA,
NA_8,2022-06-23,13:59:00,NA,NA,0.011,NA,NA,
NA_9,2022-06-23,13:59:30,NA,NA,0.018,NA,NA,
NA_10,2022-06-23,14:00:00,NA,NA,0.034,NA,NA,
NA_11,2022-06-23,14:01:00,NA,NA,0.325,NA,NA,
NA_12,2022-06-23,14:02:00,NA,NA,1.603,NA,NA,
NA_13,2022-06-23,14:05:00,NA,NA,7.672,NA,NA,
NA_14,2022-06-23,14:08:00,NA,NA,4.626,NA,NA,
NA_15,2022-06-23,14:13:00,NA,NA,1.13,NA,NA,
