"","Site","datetime","NO3","Cl","stamps","slope_sample","kw","sw","Uadd"
"4","GB",2021-06-03 12:18:00,0.005,0.494880056438931,"4-3",-0.05035712533439,-0.0579323309910731,17.261518445617,0.00434516009415396
"5","GB",2021-06-03 12:24:00,0.002,0.779030076191784,"5-4",-0.228337493789293,-0.0599466160044487,16.6815087598237,0.004496239650399
"6","GB",2021-06-03 12:26:00,0.011,0.873525773990445,"6-5",0.795130055185947,-0.0873471152591638,11.4485749991049,0.00655138837106467
"7","GB",2021-06-03 12:27:00,0.005,0.873525773990445,"7-6",-0.78845736036427,-0.055541913051726,18.0044212569471,0.00416586904094222
"8","GB",2021-06-03 12:29:00,0.005,0.872868434883517,"8-7",0.000376397914416682,-0.0713110602590114,14.0230701432269,0.00534861912179939
"9","GB",2021-06-03 12:31:00,0.005,1.01510259960684,"9-8",-0.0754800649210292,-0.0712960043424347,14.0260314616931,0.00534748986691234
"10","GB",2021-06-03 12:35:00,0.002,1.10926605311569,"10-9",-0.251249906087362,-0.0743152069392759,13.4561961297789,0.00557394232300256
"11","GB",2021-06-03 12:40:00,0.004,1.34598635828977,"11-10",0.0999437335211796,-0.0944151994262648,10.5915149899246,0.00708152338789561
"12","GB",2021-06-03 12:50:00,0.009,1.67619549821157,"12-11",0.0591530671419061,-0.0844208260741468,11.8454183227454,0.00633190479819325
"13","GB",2021-06-03 13:00:00,0.004,2.00804311610823,"13-12",-0.099156424901247,-0.0725902126457656,13.7759618487401,0.00544456074559013
