"","Site","datetime","NO3","Cl","stamps","slope_sample","kw","sw","Uadd"
"2","INC",2021-08-05 09:15:15,0.001,0.395983806831419,"2-1",-0.344814933266849,-0.0254716844178185,39.2592803678291,0.0204707858898835
"3","INC",2021-08-05 09:18:00,0,2.35316451241223,"3-2",-Inf,-0.0389769359707701,25.6561983412428,0.0313245287517452
"4","INC",2021-08-05 09:19:30,0.009,27.3692163198535,"4-3",Inf,-Inf,0,Inf
"5","INC",2021-08-05 09:20:00,0.018,43.6485640919136,"5-4",0.00754652281966924,-0.0593626986997205,16.8455953301312,0.0477079204890574
"6","INC",2021-08-05 09:20:50,0.026,73.1044256744565,"6-5",-0.00295987483484941,-0.0570987418538198,17.5135207455206,0.0458884500882719
"7","INC",2021-08-05 09:21:30,0.03,91.3412800091914,"7-6",-0.00199032675072377,-0.0585786792712445,17.0710574639208,0.0470778289100877
"8","INC",2021-08-05 09:22:30,0.039,110.771322310944,"8-7",0.0694991688983819,-0.059374809971534,16.8421591661418,0.0477176539345603
"9","INC",2021-08-05 09:23:30,0.046,118.314298537345,"9-8",0.0992030368260224,-0.0586798182825502,17.0416342324866,0.0471591111296532
"10","INC",2021-08-05 09:25:00,0.048,101.414212561738,"10-9",0.131127333460266,-0.0576877879142899,17.3346913819222,0.0463618477476245
"11","INC",2021-08-05 09:26:10,0.026,81.4584820830177,"11-10",-0.337701168320117,-0.055720877912386,17.9465944806608,0.0447811044856877
"12","INC",2021-08-05 09:28:00,0.017,52.1931052106374,"12-11",0.0110508393329199,-0.0596607248761206,16.76144569273,0.047947434686336
"13","INC",2021-08-05 09:29:40,0.01,26.4611241604022,"13-12",0.0891873047729035,-0.0594581261550171,16.818558953453,0.0477846125119857
"14","INC",2021-08-05 09:32:10,0.006,14.3827002537463,"14-13",0.039529962481976,-0.0579716710754687,17.2498046278186,0.0465899956515837
"15","INC",2021-08-05 09:36:10,0.001,3.40238544203765,"15-14",-0.0875525355883655,-0.0569834220134193,17.5489636225165,0.0457957711855747
"16","INC",2021-08-05 09:43:05,0,0.346514817028575,"16-15",-Inf,-0.0604855234369539,16.5328816413788,0.0486102991622044
