sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2023-02-15,13:17:00,0.0026,7.489,0.013,,62.4,Reach length: 100 m
2,2023-02-15,13:19:00,,,0.033,,62.4,"BOR HOBO: , HOR HOBO: "
3,2023-02-15,13:21:00,,,0.03,,62.4,"800 g NaCl, 215 g NO3/NH4, 7.8 L H2O"
4,2023-02-15,13:22:30,,,0.053,,67.9,"Injection start: 13:19:00 PST, injection end: 13:21:30 PST"
5,2023-02-15,13:23:00,,,0.148,,79.8,"BOR GPS: N , W ; elevation:  ft"
6,2023-02-15,13:23:30,,,0.16,,86.8,"HOR GPS: N , W ; elevation:  ft"
7,2023-02-15,13:24:00,,,0.154,,82.7,"width notes: 7.5m, 8.2m, 10.6m, 8.02m, 11.7m, 3.8m, 7.5m, 10.5m, 7.5m, 8.3m, 3.4m, 3.1m, 2.5m, 3.5m, 2.7m"
8,2023-02-15,13:25:00,,,0.197,,74.4,
9,2023-02-15,13:26:00,,,0.218,,70.5,
10,2023-02-15,13:27:00,,,0.183,,68,
11,2023-02-15,13:28:00,,,0.099,,66.1,
12,2023-02-15,13:29:00,,,0.101,,64.8,
13,2023-02-15,13:30:00,,,0.092,,64,
14,2023-02-15,13:32:00,,,0.06,,63.2,
15,2023-02-15,13:34:00,,,0.037,,62.8,
16,2023-02-15,13:37:20,,,0.043,,62.6,
17,2023-02-15,13:41:00,,,0.045,,62.4,
18,2023-02-15,13:50:00,0.0105,10.546,0.032,,62.4,
HOR1,2023-02-15,13:20:00,,,0.015,,,
blank v1,,,0.003,2.727,0.013,,,
blank v2,,,0.0041,1.816,0.037,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HOR_1,,,,,,,,
HOR_2,,,0.0032,9.034,,,,
HOR_3,,,,,,,,
HOR_4,,,,,,,,
Blank,,,,,0.02,,,
Blank_v2,,,,,0.016,,,
