sample_no,date,time,Nh4_mgNL,PO4_ugL,NO3_mgNL,DOC_mgL,ysi_SPC,notes
1,2022-10-03,10:55:00,0.0189,11.036,0.004,NA,520.1,Reach length: 50m
2,2022-10-03,11:00:00,0.0157,10.076,0.007,NA,522,"BOR HOBO: 20775520, HOR HOBO: 20775523"
3,2022-10-03,11:02:30,0.3162,NA,NA,NA,530.1,"700 g NaCl, 300 g NH4Cl, 6L H2O"
4,2022-10-03,11:03:30,1.3317,9.105,0.007,NA,569,"Injection start: 10:50:10 PST, injection end: 10:52:10 PST"
5,2022-10-03,11:04:00,2.8802,NA,NA,NA,608,"BOR GPS: N 39.08804, W 119.93918; elevation: 5961 ft"
6,2022-10-03,11:04:30,4.7768,NA,NA,NA,670,"HOR GPS: N 39.08835, W 119.93878; elevation: 5986 ft"
7,2022-10-03,11:05:30,7.5001,NA,NA,NA,770,
8,2022-10-03,11:06:30,12.5594,NA,NA,NA,909,*cold water (~8 degC)
9,2022-10-03,11:07:30,15.3634,NA,NA,NA,1000,
10,2022-10-03,11:08:30,18.516,NA,NA,NA,1070,
11,2022-10-03,11:09:15,18.1172,NA,NA,NA,1084,
12,2022-10-03,11:10:30,18.9149,NA,NA,NA,1070,
13,2022-10-03,11:11:30,17.9874,NA,NA,NA,1033,
14,2022-10-03,11:12:30,15.9848,9.173,NA,NA,984,
15,2022-10-03,11:13:30,13.0006,9.073,0.007,NA,941,
16,2022-10-03,11:14:30,10.4702,NA,NA,NA,888,
17,2022-10-03,11:16:00,4.2366,NA,NA,NA,820,
18,2022-10-03,11:18:00,4.3602,6.301,0.005,NA,738,Should really be NA still EHL
19,2022-10-03,11:20:00,3.5708,NA,NA,NA,672.4,
20,2022-10-03,11:23:00,2.4333,NA,0.007,NA,617.5,
21,2022-10-03,11:26:00,1.9662,8.387,0.006,NA,584.2,
22,2022-10-03,11:31:00,0.9919,9.242,NA,NA,556,
23,2022-10-03,11:42:00,0.3794,9.688,NA,NA,535.6,
23_v,2022-10-03,NA,0.0385,8.501,NA,NA,NA,
HOR_1,2022-10-03,10:50:00,0.0147,8.463,0.006,NA,NA,
HOR_2,2022-10-03,11:20:00,0.0169,10.627,0.006,NA,NA,
HOR_3,2022-10-03,NA,0.0135,9.347,0.004,NA,NA,
HOR_4,2022-10-03,NA,0.0166,8.249,0.005,NA,NA,
Blank,2022-10-03,NA,0.0038,2.358,NA,NA,NA,
Blank_v2,2022-10-03,NA,0.0036,2.136,NA,NA,NA,
